"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"63",1.1,5,3,4,5,2,2,2,1,1,1,20
"63",1.2,5,4,6,3,3,2,1,1,2,1,30
"63",1.3,5,4,3,4,2,2,1,1,4,1,20
"63",1.4,5,2,4,3,3,1,1,1,2,1,25
"63",1.5,5,2,2,4,2,1,2,1,2,1,1
"63",2.1,3,2,3,2,2,2,2,1,2,1,30
"63",2.2,2,3,5,1,4,3,4,2,5,1,25
"63",2.3,3,3,2,5,2,4,1,1,2,1,1
"63",2.4,3,1,3,6,1,1,4,1,2,0,5
"63",2.5,2,1,3,2,1,2,1,1,2,1,1
"63",3.1,3,4,2,4,1,2,1,1,2,1,20
"63",3.2,3,3,3,4,2,2,2,1,1,0,1
"63",3.3,4,2,3,6,1,1,1,1,2,0,5
"63",3.4,2,2,2,4,2,2,1,1,2,1,20
"63",3.5,2,1,2,4,1,2,3,1,3,1,1
"63",4.1,2,2,2,2,4,2,1,1,2,1,1
"63",4.2,2,2,4,4,2,2,2,1,1,1,20
"63",4.3,4,1,3,4,1,2,1,1,1,1,20
"63",4.4,2,2,3,4,1,2,1,1,2,1,20
"63",4.5,2,2,3,5,2,1,1,1,1,0,25
"63",5.1,2,1,2,1,4,1,3,1,2,1,1
"63",5.2,2,1,5,1,1,2,5,2,3,1,1
"63",5.3,5,1,5,6,1,1,1,1,1,1,25
"63",5.4,3,1,4,5,1,2,1,1,2,0,20
"63",5.5,4,3,4,5,1,1,1,1,1,0,20
"63",6.1,5,4,4,5,1,1,1,1,1,1,1
"63",6.2,4,4,4,6,1,1,1,1,1,1,1
"63",6.3,4,4,4,3,1,2,3,1,5,0,30
"63",6.4,3,4,3,4,1,1,5,2,5,0,20
"63",6.5,4,2,5,6,1,1,1,1,1,0,25
"63",7.1,5,2,5,2,1,1,1,1,1,1,20
"63",7.2,4,3,5,5,1,1,1,1,2,1,1
"63",7.3,4,4,4,5,1,1,1,1,1,1,1
"63",7.4,5,3,4,4,1,1,2,1,2,1,1
"63",7.5,5,2,3,6,1,1,1,1,1,1,20
"63",8.1,4,3,4,5,1,1,1,1,1,1,1
"63",8.2,4,3,5,3,1,1,1,1,1,1,1
"63",8.3,4,3,4,4,1,1,1,1,1,1,20
"63",8.4,4,3,3,6,1,1,1,1,1,1,25
"63",8.5,5,3,4,6,1,1,1,1,1,0,1
"63",9.1,4,4,4,3,3,1,1,1,3,0,1
"63",9.2,4,3,5,3,2,1,2,2,3,0,20
"63",9.3,4,2,3,5,1,1,1,1,1,1,20
"63",9.4,2,3,3,5,1,1,1,1,2,0,1
"63",9.5,5,3,3,5,1,1,1,1,1,0,1
"63",10.1,4,2,4,3,1,2,1,1,1,1,20
"63",10.2,3,2,3,4,1,2,1,1,2,1,1
"63",10.3,3,1,4,5,1,3,1,1,1,0,1
"63",10.4,2,2,5,2,1,1,1,1,1,1,25
"63",10.5,5,4,5,3,1,1,1,1,2,0,1
"63",11.1,3,3,4,3,1,1,1,1,2,1,1
"63",11.2,4,2,5,3,2,2,2,1,3,1,1
"63",11.3,4,3,4,5,1,1,1,1,1,0,30
"63",11.4,3,3,2,6,1,2,1,1,1,0,25
"63",11.5,3,4,3,3,1,2,4,1,3,0,1
"63",12.1,3,3,4,1,5,2,5,2,6,0,25
"63",12.2,6,1,4,6,1,1,1,1,1,0,20
"63",12.3,4,3,4,5,2,1,2,1,1,1,1
"63",12.4,6,5,4,6,1,1,1,1,1,0,35
"63",12.5,5,4,4,6,1,1,1,1,1,0,1
"63",13.1,3,4,5,3,2,2,2,1,2,0,30
"63",13.2,5,5,5,4,3,1,1,1,3,0,1
"63",13.3,4,4,4,6,1,2,1,1,1,1,1
"63",13.4,5,4,5,6,1,1,1,1,1,0,30
"63",13.5,4,1,2,5,1,1,1,1,1,0,1
"63",14.1,4,2,3,4,3,1,1,1,2,1,1
"63",14.2,2,1,2,2,1,2,6,2,5,1,1
"63",14.3,3,4,4,3,5,1,1,1,5,0,25
"63",14.4,3,4,4,2,3,2,2,1,5,0,35
"63",14.5,4,3,4,5,1,1,1,1,2,0,1
