"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"58",1.1,2,3,3,3,2,4,6,3,5,1,45
"58",1.2,3.33333333333333,3.33333333333333,3.66666666666667,3.66666666666667,1.66666666666667,3,3.66666666666667,2.33333333333333,3.66666666666667,1,25.3333333333333
"58",1.3,5,4,5,5,2,2,2,2,3,1,1
"58",1.4,3,3,3,3,1,3,3,2,3,1,30
"58",1.5,4,3,4,5,1,2,2,2,2,0,45
"58",2.1,3,3,3,3,1,1,2,1,3,1,30
"58",2.2,3,3,4,3,1,1,2,2,2,0,25
"58",2.3,4,4,4,3,1,2,2,1,2,0,30
"58",2.4,6,6,5,5,1,1,1,1,1,0,1
"58",2.5,4,3,4,6,1,1,1,1,1,0,45
"58",3.1,3,3,3,3,1,1,2,1,2,0,90
"58",3.2,3,2,2,2,2,2,4,1,2,1,60
"58",3.3,4,2,3,4,2,2,5,3,3,1,30
"58",3.4,1,2,2,2,2,2,4,2,4,0,90
"58",3.5,5,5,6,6,1,2,1,1,1,1,60
"58",4.1,4,3,4,3,3,2,3,1,2,1,30
"58",4.2,3,3,4,4,2,2,4,1,2,1,60
"58",4.3,6,6,5,4,2,2,3,1,2,0,30
"58",4.4,5,4,4,5,1,2,2,1,2,1,60
"58",4.5,6,6,5,6,1,2,1,1,1,1,90
"58",5.1,3,2,2,3,2,2,2,1,2,1,30
"58",5.2,4,3,3,4,1,2,1,1,2,0,30
"58",5.3,5,5,5,5,1,2,2,1,1,0,60
"58",5.4,5,4,5,5,2,2,1,1,1,0,90
"58",5.5,4.75,3.75,4.25,4.75,1.75,2,1.75,1,1.25,0,60
"58",6.1,4,3,3,4,2,2,2,1,1,0,30
"58",6.2,5,3,4,5,2,2,2,1,2,0,60
"58",6.3,3,1,3,4,2,2,2,2,2,1,60
"58",6.4,4,3,4,4,1,2,3,1,1,0,90
"58",6.5,5,3,5,5,1,2,2,1,1,1,90
"58",7.1,3,2,2,2,1,2,3,2,3,1,60
"58",7.2,2,2,2,2,2,3,3,3,3,1,30
"58",7.3,3,3,2,2,2,3,4,2,5,1,30
"58",7.4,4,3,4,4,1,2,2,2,2,1,60
"58",7.5,5,3,5,5,1,2,2,1,2,0,90
"58",8.1,3,3,3,3,1,2,1,1,2,1,60
"58",8.2,5,6,5,5,1,2,1,1,2,0,60
"58",8.3,4,4,3,3,2,2,2,1,2,1,30
"58",8.4,5,4,4,5,1,2,2,1,2,1,30
"58",8.5,5,3,4,4,1,2,2,1,2,1,60
"58",9.1,3,2,3,4,1,2,3,2,2,1,45
"58",9.2,3,3,3,4,1,2,2,1,2,1,30
"58",9.3,4,3,3,3,2,2,2,1,2,1,30
"58",9.4,4,3,4,5,1,2,1,1,1,0,60
"58",9.5,5,4,4,5,1,2,1,1,2,0,60
"58",10.1,2,3,2,2,2,2,2,1,3,0,30
"58",10.2,3,3,3,4,1,2,2,1,2,0,30
"58",10.3,4,4,4,5,1,2,2,1,2,0,60
"58",10.4,5,3,4,4,1,2,1,1,1,1,60
"58",10.5,4,3,3,4,1,2,2,1,2,0,60
"58",11.1,3,3,3,3,2,2,1,1,2,0,30
"58",11.2,3.33333333333333,3,3,3.66666666666667,1.66666666666667,2.33333333333333,1.33333333333333,1,2,0.333333333333333,50
"58",11.3,3,3,3,4,2,3,1,1,2,1,60
"58",11.4,3,3,2.33333333333333,4,2,3.33333333333333,1.66666666666667,1,1.66666666666667,0.666666666666667,60
"58",11.5,4,3,2,4,2,4,2,1,1,1,60
"58",12.1,2,3,2,4,2,3,2,1,2,0,60
"58",12.2,3.25,3.25,2.5,3.75,2,3,2.25,1.25,1.75,0.75,60
"58",12.3,3,3,2,3,2,3,3,2,2,1,30
"58",12.4,4,4,4,4,2,2,2,1,2,1,90
"58",12.5,4,4,4,4,2,2,2,1,2,1,30
"58",13.1,3,2,2,4,1,2,1,1,1,0,60
"58",13.2,3,2.66666666666667,3,3.66666666666667,1.33333333333333,2,1.33333333333333,1,1.33333333333333,0.666666666666667,50
"58",13.3,2,2,3,3,1,2,1,1,1,1,60
"58",13.4,3.66666666666667,2.66666666666667,3.33333333333333,3.66666666666667,1,2,1.33333333333333,1,1.33333333333333,0.333333333333333,60
"58",13.5,4,3,3,4,1,2,2,1,2,0,60
"58",14.1,5,3,4,4,1,2,1,1,1,0,60
"58",14.2,4,3,4,4,1,2,1,1,1,1,30
"58",14.3,5,3,4,5,1,2,1,1,1,0,60
"58",14.4,5,3,4,5,1,2,1,1,1,0,60
"58",14.5,4,3,4,5,1,2,1,1,1,0,60
